name,owner,stars,created_at,updated_at,age_days,days_since_update,merged_pull_requests,total_releases,primary_language,total_issues,closed_issues,closed_issues_ratio
cockroach,cockroachdb,31209,2014-02-06T00:18:47Z,2025-08-24T16:58:02Z,4217,0,67708,0,Go,75755,69317,91.5
OpenCut,OpenCut-app,31195,2025-06-22T08:02:17Z,2025-08-24T18:58:06Z,63,0,179,0,TypeScript,185,72,38.92
claude-code,anthropics,31191,2025-02-22T17:41:21Z,2025-08-24T21:03:36Z,183,0,59,0,TypeScript,6295,3597,57.14
backstage,backstage,31190,2020-01-24T22:39:49Z,2025-08-24T17:37:14Z,2038,0,18970,443,TypeScript,7060,6697,94.86
cursor,cursor,31144,2023-03-12T00:19:42Z,2025-08-24T17:11:39Z,896,0,46,0,Unknown,3244,1213,37.39
paper-reading,mli,31127,2021-10-22T06:34:51Z,2025-08-24T16:14:15Z,1402,0,15,0,Unknown,0,0,0
mediapipe,google-ai-edge,31082,2019-06-13T19:16:41Z,2025-08-24T20:58:12Z,2264,0,201,63,C++,5472,5032,91.96
slate,ianstormtaylor,31057,2016-06-18T01:52:42Z,2025-08-24T14:13:23Z,3354,0,1938,203,TypeScript,3198,2528,79.05
dokku,dokku,31051,2013-06-08T10:26:57Z,2025-08-24T18:44:29Z,4460,0,4170,303,Shell,2799,2754,98.39
Blog,mqyqingfeng,31047,2017-03-13T10:04:33Z,2025-08-24T16:46:28Z,3086,0,3,0,Unknown,361,100,27.7
sharp,lovell,31023,2013-08-19T20:24:24Z,2025-08-24T16:03:13Z,4388,0,302,99,JavaScript,3982,3865,97.06
linux-insides,0xAX,31002,2015-01-03T18:44:57Z,2025-08-24T21:08:27Z,3886,0,580,0,Python,189,156,82.54
dotfiles,mathiasbynens,30963,2011-09-05T18:07:54Z,2025-08-24T17:39:48Z,5102,0,44,0,Shell,392,254,64.8
MonitorControl,MonitorControl,30939,2017-09-16T21:13:40Z,2025-08-24T17:52:18Z,2899,0,216,26,Swift,984,968,98.37
lede,coolsnowwolf,30936,2017-09-06T07:39:03Z,2025-08-24T21:19:40Z,2909,0,2020,6,C,9155,8389,91.63
ink,vadimdemedes,30928,2017-06-12T06:12:28Z,2025-08-24T20:54:38Z,2995,0,235,63,TypeScript,375,302,80.53
OCRmyPDF,ocrmypdf,30928,2013-12-20T08:26:28Z,2025-08-24T19:44:18Z,4265,0,153,41,Python,1269,1137,89.6
filebrowser,filebrowser,30915,2015-09-11T21:21:58Z,2025-08-24T20:55:42Z,3635,0,608,97,Go,2748,2727,99.24
croc,schollz,30900,2017-10-17T15:20:18Z,2025-08-24T14:11:58Z,2868,0,236,175,Go,540,530,98.15
1Panel,1Panel-dev,30893,2022-07-19T15:44:52Z,2025-08-24T16:06:09Z,1132,0,3823,96,Go,5400,4778,88.48
jQuery-File-Upload,blueimp,30891,2010-12-01T15:35:32Z,2025-08-21T01:31:12Z,5380,3,119,0,PHP,3307,3258,98.52
minikube,kubernetes,30851,2016-04-15T22:38:35Z,2025-08-24T01:33:00Z,3417,0,8793,151,Go,10120,9623,95.09
paperless-ngx,paperless-ngx,30840,2022-02-12T21:56:52Z,2025-08-24T20:35:55Z,1288,0,2570,123,Python,2110,2110,100.0
k9s,derailed,30824,2019-01-25T18:46:02Z,2025-08-24T18:06:34Z,2403,0,839,248,Go,2139,1733,81.02
Xray-core,XTLS,30811,2020-11-09T11:23:10Z,2025-08-24T21:18:04Z,1749,0,1015,90,Go,2558,2545,99.49
khoj,khoj-ai,30794,2021-08-16T01:48:44Z,2025-08-24T18:23:38Z,1469,0,475,159,Python,552,476,86.23
kafka,apache,30741,2011-08-15T18:06:16Z,2025-08-24T20:15:43Z,5123,0,11817,0,Java,0,0,0
editor.js,codex-team,30726,2015-11-28T20:56:35Z,2025-08-24T18:37:24Z,3557,0,863,102,TypeScript,1521,922,60.62
p3c,alibaba,30726,2017-06-23T06:15:51Z,2025-08-24T16:29:29Z,2984,0,62,0,Kotlin,858,697,81.24
fish-shell,fish-shell,30725,2012-05-10T03:00:55Z,2025-08-24T20:10:02Z,4854,0,2146,48,Rust,7667,7186,93.73
awesome-sysadmin,awesome-foss,30715,2014-12-23T08:41:22Z,2025-08-24T21:09:34Z,3897,0,329,0,Unknown,102,88,86.27
headscale,juanfont,30703,2020-06-21T09:21:05Z,2025-08-24T21:08:57Z,1890,0,1059,124,Go,1093,1000,91.49
interactive-coding-challenges,donnemartin,30690,2015-04-28T21:36:39Z,2025-08-24T19:06:12Z,3770,0,176,0,Python,69,32,46.38
Sortable,SortableJS,30679,2013-12-19T10:10:13Z,2025-08-24T15:00:28Z,4266,0,248,30,JavaScript,1817,1344,73.97
textual,Textualize,30642,2021-04-08T15:24:47Z,2025-08-24T19:46:48Z,1599,0,2177,185,Python,2260,2075,91.81
comprehensive-rust,google,30615,2022-12-21T15:17:24Z,2025-08-24T19:43:36Z,977,0,2174,0,Rust,345,235,68.12
k3s,k3s-io,30582,2018-05-31T01:37:46Z,2025-08-24T14:47:01Z,2642,0,4069,885,Go,6947,6838,98.43
spring-boot-examples,ityouknow,30578,2016-11-05T05:32:33Z,2025-08-24T10:19:34Z,3214,0,7,0,Java,109,99,90.83
UTM,utmapp,30560,2019-04-12T16:09:24Z,2025-08-24T19:04:48Z,2326,0,266,122,Swift,3424,2540,74.18
server,nextcloud,30560,2016-06-02T07:44:14Z,2025-08-24T20:50:37Z,3370,0,28188,350,PHP,20213,17948,88.79
calculator,microsoft,30555,2019-01-28T17:55:49Z,2025-08-24T17:03:36Z,2400,0,899,0,C++,1114,717,64.36
influxdb,influxdata,30526,2013-09-26T14:31:10Z,2025-08-24T17:17:47Z,4350,0,10607,93,Rust,14018,11958,85.3
symfony,symfony,30507,2010-01-04T14:21:21Z,2025-08-24T20:18:47Z,5711,0,24309,555,PHP,21235,20691,97.44
jsPDF,parallax,30504,2009-12-06T14:56:32Z,2025-08-24T08:49:25Z,5740,0,718,35,JavaScript,2559,2445,95.55
diffusers,huggingface,30458,2022-05-30T16:04:02Z,2025-08-24T19:49:02Z,1182,0,5005,86,Python,4979,4414,88.65
gkd,gkd-kit,30445,2023-07-04T03:59:15Z,2025-08-24T18:38:35Z,782,0,6,53,Kotlin,661,648,98.03
Data-Science-For-Beginners,microsoft,30434,2021-03-03T16:30:15Z,2025-08-24T20:41:36Z,1635,0,316,0,Jupyter Notebook,119,95,79.83
Trilium,TriliumNext,30416,2017-05-23T00:30:20Z,2025-08-24T21:07:34Z,3015,0,634,334,TypeScript,4588,3501,76.31
CLIP,openai,30414,2020-12-16T11:24:42Z,2025-08-24T16:24:15Z,1712,0,28,0,Jupyter Notebook,435,193,44.37
exo,exo-explore,30397,2024-06-24T18:36:22Z,2025-08-24T21:12:11Z,426,0,207,12,Python,508,146,28.74
weekly,ascoders,30387,2017-03-20T06:10:04Z,2025-08-24T19:08:54Z,3079,0,136,193,JavaScript,366,363,99.18
webtorrent,webtorrent,30374,2013-10-15T08:16:40Z,2025-08-24T16:34:22Z,4331,0,963,228,JavaScript,1663,1598,96.09
medusa,medusajs,30363,2020-01-18T13:39:04Z,2025-08-24T21:14:52Z,2045,0,7471,128,TypeScript,3270,3173,97.03
rocksdb,facebook,30360,2012-11-30T06:16:18Z,2025-08-24T19:30:01Z,4650,0,609,206,C++,3407,2636,77.37
umami,umami-software,30349,2020-07-17T07:59:00Z,2025-08-24T20:27:58Z,1864,0,800,99,TypeScript,1839,1763,95.87
fabric.js,fabricjs,30341,2010-06-09T22:24:38Z,2025-08-24T13:34:46Z,5554,0,2345,175,TypeScript,6184,5761,93.16
lux,iawia002,30339,2018-02-24T11:29:03Z,2025-08-24T20:12:05Z,2738,0,300,86,Go,1060,540,50.94
layui,layui,30334,2015-09-22T08:12:03Z,2025-08-24T05:21:29Z,3624,0,590,158,JavaScript,1365,1298,95.09
NeteaseCloudMusicApi,Binaryify,30319,2016-06-22T11:58:03Z,2025-08-24T10:38:48Z,3350,0,292,0,Unknown,1337,1190,89.01
tqdm,tqdm,30306,2015-06-03T13:13:14Z,2025-08-24T20:08:04Z,3735,0,287,131,Python,1026,587,57.21
docsify,docsifyjs,30304,2016-11-20T07:55:43Z,2025-08-24T20:23:14Z,3199,0,731,15,JavaScript,1287,1199,93.16
GPTs,linexjlin,30272,2023-11-11T03:24:16Z,2025-08-24T13:05:30Z,652,0,42,0,Unknown,28,21,75.0
alpine,alpinejs,30241,2019-11-28T13:51:55Z,2025-08-24T08:29:41Z,2096,0,657,137,HTML,612,612,100.0
numpy,numpy,30235,2010-09-13T23:02:39Z,2025-08-24T20:23:26Z,5458,0,13103,132,Python,13496,11397,84.45
HEAD,joshbuchea,30222,2016-04-20T20:05:37Z,2025-08-23T07:38:35Z,3413,1,86,0,Unknown,93,73,78.49
AI-Expert-Roadmap,AMAI-GmbH,30206,2020-10-24T21:49:40Z,2025-08-24T21:00:15Z,1764,0,13,0,JavaScript,66,46,69.7
dioxus,DioxusLabs,30201,2021-01-15T01:57:26Z,2025-08-24T20:55:52Z,1682,0,1769,25,Rust,2064,1635,79.22
roop,s0md3v,30153,2023-05-28T14:37:54Z,2025-08-24T18:26:47Z,819,0,80,6,Python,0,0,0
CheatSheetSeries,OWASP,30146,2018-12-21T14:26:43Z,2025-08-24T18:40:19Z,2438,0,1076,0,Python,530,487,91.89
sequelize,sequelize,30135,2010-07-22T07:11:11Z,2025-08-24T19:17:41Z,5512,0,4961,487,TypeScript,10402,9511,91.43
stanford_alpaca,tatsu-lab,30131,2023-03-10T23:33:09Z,2025-08-24T17:55:55Z,897,0,5,0,Python,268,98,36.57
uppy,transloadit,30127,2015-11-16T12:32:33Z,2025-08-24T19:30:29Z,3569,0,3108,241,TypeScript,2452,2292,93.47
sniffnet,GyulyVGC,30111,2022-07-31T21:55:56Z,2025-08-24T19:17:44Z,1119,0,430,14,Rust,280,239,85.36
