id,full_name,description,language,stargazers_count,forks_count,open_issues_count,pr_count
620936652,xtekky/gpt4free,"The official gpt4free repository | various collection of powerful language models | o4, o3 and deepseek r1, gpt-4.1, gemini 2.5",Python,65150,13680,10,112
730534580,infiniflow/ragflow,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs,TypeScript,65139,6809,2867,109
191529732,lydiahallie/javascript-questions,"A long list of (advanced) JavaScript questions, and their explanations :sparkles:  ",,64953,9206,45,134
9185792,apache/echarts,"Apache ECharts is a powerful, interactive charting and data visualization library for browser",TypeScript,64669,19772,1956,146
771302083,All-Hands-AI/OpenHands,"🙌 OpenHands: Code Less, Make More",Python,63768,7682,511,122
63477660,TheAlgorithms/Java,All Algorithms implemented in Java,Java,63551,20299,3,120
843222,scikit-learn/scikit-learn,scikit-learn: machine learning in Python,Python,63448,26270,2149,144
33015583,keras-team/keras,Deep Learning for humans,Python,63427,19627,265,164
18408635,chrislgarry/Apollo-11,Original Apollo 11 Guidance Computer (AGC) source code for the command and lunar modules.,Assembly,63339,7316,125,110
261787758,bradtraversy/design-resources-for-developers,"Curated list of design and UI resources from stock photos, web templates, CSS frameworks, UI libraries, tools and much more",,63221,11857,1,105
331107018,FuelLabs/sway,🌴 Empowering everyone to build reliable and efficient smart contracts.,Rust,62134,5408,899,166
94911145,facebook/docusaurus,Easy to maintain open source documentation websites.,TypeScript,61900,9407,343,121
36535156,reduxjs/redux,A JS library for predictable global state management,TypeScript,61341,15189,45,101
3955647,lodash/lodash,"A modern JavaScript utility library delivering modularity, performance, & extras.",JavaScript,61126,7079,122,104
173228436,NationalSecurityAgency/ghidra,Ghidra is a software reverse engineering (SRE) framework,Java,60775,6763,1741,120
3228505,atom/atom,:atom: The hackable text editor,JavaScript,60723,17322,994,110
71948498,localstack/localstack,💻 A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline,Python,60646,4254,313,183
3402537,h5bp/Front-end-Developer-Interview-Questions,"A list of helpful front-end related questions you can use to interview potential candidates, test yourself or completely ignore.",Nunjucks,60616,11105,42,119
666299222,openinterpreter/open-interpreter,A natural language interface for computers,Python,60558,5193,276,105
6838921,prometheus/prometheus,The Prometheus monitoring system and time series database.,Go,60523,9810,739,147
51980455,alacritty/alacritty,"A cross-platform, OpenGL terminal emulator.",Rust,60425,3190,334,145
42489829,rust-lang/rustlings,:crab: Small exercises to get you used to reading and writing Rust code!,Rust,60061,10918,67,101
167174,jquery/jquery,jQuery JavaScript Library,JavaScript,59586,20543,96,146
787076358,firecrawl/firecrawl,The Web Data API for AI - Turn entire websites into LLM-ready markdown or structured data 🔥,TypeScript,59560,4887,226,127
15019962,tldr-pages/tldr,📚 Collaborative cheatsheets for console commands,Markdown,59376,4744,218,190
646410686,hiyouga/LLaMA-Factory,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024),Python,59323,7264,702,102
