name_with_owner,url,stargazer_count,primary_language,created_at,age,last_push,time_since_last_push,disk_usage_kb,size_formatted,name
iamxpy/SimpleDB,https://github.com/iamxpy/SimpleDB,425,Java,2017-05-28T01:01:57Z,"8 anos, 3 meses",2024-12-26T16:01:45Z,"8 meses, 18 dias",7848,7.7 MB,SimpleDB
mauricioaniche/ck,https://github.com/mauricioaniche/ck,422,Java,2015-10-05T11:13:34Z,"9 anos, 11 meses",2024-08-20T13:30:52Z,"1 anos, 0 meses",878,878 KB,ck
Humsen/highdsa,https://github.com/Humsen/highdsa,421,Java,2018-02-02T12:16:28Z,"7 anos, 7 meses",2018-06-20T09:59:25Z,"7 anos, 2 meses",5149,5.0 MB,highdsa
CloudNetService/CloudNet,https://github.com/CloudNetService/CloudNet,420,Java,2019-05-21T16:12:57Z,"6 anos, 3 meses",2025-09-10T21:28:16Z,0 dias,107643,105.1 MB,CloudNet
eclipse-ee4j/glassfish,https://github.com/eclipse-ee4j/glassfish,420,Java,2018-09-15T08:59:52Z,"6 anos, 12 meses",2025-09-10T14:49:24Z,0 dias,4018818,3.8 GB,glassfish
gluonhq/substrate,https://github.com/gluonhq/substrate,420,Java,2019-10-12T18:13:58Z,"5 anos, 11 meses",2025-07-17T04:08:34Z,"1 meses, 25 dias",3409,3.3 MB,substrate
spring-attic/spring-security-saml,https://github.com/spring-attic/spring-security-saml,419,Java,2012-01-10T23:05:35Z,"13 anos, 8 meses",2022-11-29T21:12:15Z,"2 anos, 9 meses",7278,7.1 MB,spring-security-saml
Rabtman/WsManager,https://github.com/Rabtman/WsManager,419,Java,2017-01-17T07:46:41Z,"8 anos, 7 meses",2019-03-17T04:22:10Z,"6 anos, 5 meses",4000,3.9 MB,WsManager
yahoo/storm-yarn,https://github.com/yahoo/storm-yarn,418,Java,2013-03-22T06:21:02Z,"12 anos, 5 meses",2023-07-21T06:09:50Z,"2 anos, 1 meses",91780,89.6 MB,storm-yarn
mangstadt/ez-vcard,https://github.com/mangstadt/ez-vcard,417,Java,2015-03-21T12:39:27Z,"10 anos, 5 meses",2025-02-02T14:23:38Z,"7 meses, 10 dias",80086,78.2 MB,ez-vcard
bitrich-info/xchange-stream,https://github.com/bitrich-info/xchange-stream,416,Java,2017-01-16T14:05:54Z,"8 anos, 7 meses",2020-06-08T09:00:10Z,"5 anos, 3 meses",2117,2.1 MB,xchange-stream
