name_with_owner,url,stargazer_count,primary_language,created_at,age,last_push,time_since_last_push,disk_usage_kb,size_formatted,name
pmiaowu/BurpShiroPassiveScan,https://github.com/pmiaowu/BurpShiroPassiveScan,1771,Java,2020-07-15T07:12:16Z,"5 anos, 1 meses",2022-12-14T20:55:01Z,"2 anos, 9 meses",9109,8.9 MB,BurpShiroPassiveScan
4thline/cling,https://github.com/4thline/cling,1770,Java,2011-09-14T14:09:24Z,"14 anos, 0 meses",2020-02-11T16:56:54Z,"5 anos, 7 meses",6132,6.0 MB,cling
samlss/Broccoli,https://github.com/samlss/Broccoli,1765,Java,2018-12-14T15:28:05Z,"6 anos, 9 meses",2023-03-22T01:34:10Z,"2 anos, 5 meses",4647,4.5 MB,Broccoli
leochuan/ViewPagerLayoutManager,https://github.com/leochuan/ViewPagerLayoutManager,1756,Java,2016-08-08T14:34:56Z,"9 anos, 1 meses",2019-11-12T02:12:22Z,"5 anos, 10 meses",46640,45.5 MB,ViewPagerLayoutManager
core-lib/xjar,https://github.com/core-lib/xjar,1754,Java,2018-11-22T09:56:53Z,"6 anos, 9 meses",2024-04-25T01:35:41Z,"1 anos, 4 meses",365,365 KB,xjar
onthegomap/planetiler,https://github.com/onthegomap/planetiler,1745,Java,2021-10-20T01:59:38Z,"3 anos, 10 meses",2025-09-06T01:14:31Z,4 dias,63708,62.2 MB,planetiler
jar-analyzer/jar-analyzer,https://github.com/jar-analyzer/jar-analyzer,1722,Java,2023-10-07T15:42:35Z,"1 anos, 11 meses",2025-09-05T14:24:57Z,5 dias,89620,87.5 MB,jar-analyzer
guchengwuyue/yshopmall,https://github.com/guchengwuyue/yshopmall,1708,Java,2019-11-07T13:53:52Z,"5 anos, 10 meses",2025-07-29T03:29:45Z,"1 meses, 13 dias",46531,45.4 MB,yshopmall
88250/solo,https://github.com/88250/solo,1705,Java,2019-12-01T10:29:18Z,"5 anos, 9 meses",2025-07-15T03:20:38Z,"1 meses, 27 dias",157836,154.1 MB,solo
Sunzxyong/Recovery,https://github.com/Sunzxyong/Recovery,1704,Java,2016-09-04T08:13:19Z,"9 anos, 0 meses",2019-02-17T07:17:38Z,"6 anos, 6 meses",894,894 KB,Recovery
git-commit-id/git-commit-id-maven-plugin,https://github.com/git-commit-id/git-commit-id-maven-plugin,1688,Java,2011-02-13T13:55:14Z,"14 anos, 7 meses",2025-09-01T16:14:11Z,9 dias,3826,3.7 MB,git-commit-id-maven-plugin
in28minutes/master-spring-and-spring-boot,https://github.com/in28minutes/master-spring-and-spring-boot,1665,Java,2022-10-27T08:18:07Z,"2 anos, 10 meses",2025-06-16T10:21:09Z,"2 meses, 26 dias",83768,81.8 MB,master-spring-and-spring-boot
Smith-Cruise/Spring-Boot-Shiro,https://github.com/Smith-Cruise/Spring-Boot-Shiro,1646,Java,2017-10-23T13:03:15Z,"7 anos, 10 meses",2022-03-31T18:38:15Z,"3 anos, 5 meses",46,46 KB,Spring-Boot-Shiro
SmartBear/soapui,https://github.com/SmartBear/soapui,1643,Java,2012-07-08T14:27:41Z,"13 anos, 2 meses",2025-09-10T12:01:01Z,0 dias,99369,97.0 MB,soapui
ImmortalZ/TransitionHelper,https://github.com/ImmortalZ/TransitionHelper,1637,Java,2016-10-30T14:53:50Z,"8 anos, 10 meses",2018-02-28T05:46:05Z,"7 anos, 6 meses",12136,11.9 MB,TransitionHelper
murraco/spring-boot-jwt,https://github.com/murraco/spring-boot-jwt,1635,Java,2017-10-12T02:28:48Z,"7 anos, 11 meses",2024-08-26T16:31:13Z,"1 anos, 0 meses",80,80 KB,spring-boot-jwt
openmrs/openmrs-core,https://github.com/openmrs/openmrs-core,1634,Java,2012-07-26T04:54:29Z,"13 anos, 1 meses",2025-09-10T18:07:25Z,0 dias,240017,234.4 MB,openmrs-core
mayubao/Android-Pay,https://github.com/mayubao/Android-Pay,1632,Java,2017-03-01T07:08:19Z,"8 anos, 6 meses",2017-07-08T02:18:00Z,"8 anos, 2 meses",547,547 KB,Android-Pay
ofdrw/ofdrw,https://github.com/ofdrw/ofdrw,1627,Java,2019-09-27T13:54:43Z,"5 anos, 11 meses",2025-08-19T02:29:33Z,22 dias,367895,359.3 MB,ofdrw
pgjdbc/pgjdbc,https://github.com/pgjdbc/pgjdbc,1626,Java,2012-02-06T19:30:35Z,"13 anos, 7 meses",2025-09-10T08:46:23Z,0 dias,46245,45.2 MB,pgjdbc
happyfish100/fastdfs-client-java,https://github.com/happyfish100/fastdfs-client-java,1616,Java,2014-12-07T03:19:50Z,"10 anos, 9 meses",2025-09-04T11:39:34Z,6 dias,328,328 KB,fastdfs-client-java
Xiaofei-it/HermesEventBus,https://github.com/Xiaofei-it/HermesEventBus,1612,Java,2016-07-11T13:52:10Z,"9 anos, 2 meses",2017-05-18T16:57:35Z,"8 anos, 3 meses",304,304 KB,HermesEventBus
pagehelper/pagehelper-spring-boot,https://github.com/pagehelper/pagehelper-spring-boot,1598,Java,2017-01-01T15:04:19Z,"8 anos, 8 meses",2025-06-20T00:37:05Z,"2 meses, 22 dias",134,134 KB,pagehelper-spring-boot
spring-projects/spring-integration,https://github.com/spring-projects/spring-integration,1592,Java,2011-07-22T21:47:27Z,"14 anos, 1 meses",2025-09-10T23:09:36Z,0 dias,78222,76.4 MB,spring-integration
continew-org/continew-admin,https://github.com/continew-org/continew-admin,1583,Java,2022-12-08T15:26:44Z,"2 anos, 9 meses",2025-09-10T12:44:49Z,0 dias,27531,26.9 MB,continew-admin
knowm/XChart,https://github.com/knowm/XChart,1569,Java,2011-07-20T15:56:44Z,"14 anos, 1 meses",2024-08-28T12:35:12Z,"1 anos, 0 meses",14929,14.6 MB,XChart
EsotericSoftware/reflectasm,https://github.com/EsotericSoftware/reflectasm,1538,Java,2013-11-06T13:22:17Z,"11 anos, 10 meses",2025-06-05T00:35:07Z,"3 meses, 7 dias",897,897 KB,reflectasm
tobato/FastDFS_Client,https://github.com/tobato/FastDFS_Client,1497,Java,2015-12-29T15:29:07Z,"9 anos, 8 meses",2024-05-17T08:50:40Z,"1 anos, 3 meses",1077,1.1 MB,FastDFS_Client
mitre/HTTP-Proxy-Servlet,https://github.com/mitre/HTTP-Proxy-Servlet,1485,Java,2012-04-27T17:43:25Z,"13 anos, 4 meses",2024-07-05T12:55:33Z,"1 anos, 2 meses",366,366 KB,HTTP-Proxy-Servlet
AutohomeCorp/frostmourne,https://github.com/AutohomeCorp/frostmourne,1474,Java,2019-12-16T03:22:03Z,"5 anos, 9 meses",2024-10-22T08:59:01Z,"10 meses, 23 dias",65623,64.1 MB,frostmourne
alibaba/Virtualview-Android,https://github.com/alibaba/Virtualview-Android,1456,Java,2017-12-05T03:25:05Z,"7 anos, 9 meses",2021-07-14T04:45:23Z,"4 anos, 1 meses",866,866 KB,Virtualview-Android
chengdazhi/StyleImageView,https://github.com/chengdazhi/StyleImageView,1448,Java,2016-08-17T10:49:18Z,"9 anos, 0 meses",2017-01-17T04:48:26Z,"8 anos, 7 meses",8917,8.7 MB,StyleImageView
SpinyTech/ModularizationArchitecture,https://github.com/SpinyTech/ModularizationArchitecture,1447,Java,2016-11-25T03:29:54Z,"8 anos, 9 meses",2020-12-14T10:02:21Z,"4 anos, 9 meses",6319,6.2 MB,ModularizationArchitecture
yahoo/mysql_perf_analyzer,https://github.com/yahoo/mysql_perf_analyzer,1442,Java,2015-05-20T16:27:27Z,"10 anos, 3 meses",2023-03-21T04:05:35Z,"2 anos, 5 meses",6979,6.8 MB,mysql_perf_analyzer
spotify/docker-client,https://github.com/spotify/docker-client,1440,Java,2014-06-04T13:22:10Z,"11 anos, 3 meses",2022-01-24T12:57:44Z,"3 anos, 7 meses",3609,3.5 MB,docker-client
bootique/bootique,https://github.com/bootique/bootique,1423,Java,2015-12-10T14:45:15Z,"9 anos, 9 meses",2025-08-30T19:10:21Z,11 dias,3387,3.3 MB,bootique
aliyun/aliyun-openapi-java-sdk,https://github.com/aliyun/aliyun-openapi-java-sdk,1420,Java,2015-07-23T08:41:13Z,"10 anos, 1 meses",2025-09-10T02:22:21Z,0 dias,80646,78.8 MB,aliyun-openapi-java-sdk
googleapis/google-api-java-client,https://github.com/googleapis/google-api-java-client,1414,Java,2014-10-28T17:31:34Z,"10 anos, 10 meses",2025-09-05T19:25:30Z,5 dias,14841,14.5 MB,google-api-java-client
Tourenathan-G5organisation/SiliCompressor,https://github.com/Tourenathan-G5organisation/SiliCompressor,1402,Java,2016-04-04T07:13:51Z,"9 anos, 5 meses",2022-11-04T08:23:07Z,"2 anos, 10 meses",4370,4.3 MB,SiliCompressor
aritraroy/PinLockView,https://github.com/aritraroy/PinLockView,1402,Java,2016-06-12T09:02:44Z,"9 anos, 3 meses",2020-02-12T04:05:28Z,"5 anos, 7 meses",357,357 KB,PinLockView
MultiPaper/MultiPaper,https://github.com/MultiPaper/MultiPaper,1371,Java,2021-01-17T04:36:02Z,"4 anos, 7 meses",2025-05-21T18:19:57Z,"3 meses, 22 dias",3828,3.7 MB,MultiPaper
oracle/tribuo,https://github.com/oracle/tribuo,1365,Java,2020-06-16T09:59:48Z,"5 anos, 2 meses",2025-08-19T14:40:13Z,22 dias,10052,9.8 MB,tribuo
GrailStack/Moss,https://github.com/GrailStack/Moss,1364,Java,2019-04-10T07:26:25Z,"6 anos, 5 meses",2023-09-15T07:13:01Z,"1 anos, 12 meses",8145,8.0 MB,Moss
in28minutes/spring-boot-examples,https://github.com/in28minutes/spring-boot-examples,1363,Java,2017-11-27T04:31:20Z,"7 anos, 9 meses",2025-08-15T02:41:59Z,26 dias,2179,2.1 MB,spring-boot-examples
AnghelLeonard/Hibernate-SpringBoot,https://github.com/AnghelLeonard/Hibernate-SpringBoot,1357,Java,2018-10-13T07:55:05Z,"6 anos, 11 meses",2023-02-14T14:30:07Z,"2 anos, 6 meses",33375,32.6 MB,Hibernate-SpringBoot
greenrobot/essentials,https://github.com/greenrobot/essentials,1353,Java,2014-11-04T16:22:18Z,"10 anos, 10 meses",2021-03-22T07:44:57Z,"4 anos, 5 meses",1041,1.0 MB,essentials
a-schild/jave2,https://github.com/a-schild/jave2,1350,Java,2013-03-04T08:50:30Z,"12 anos, 6 meses",2024-12-27T09:52:08Z,"8 meses, 17 dias",812039,793.0 MB,jave2
shekhargulati/strman-java,https://github.com/shekhargulati/strman-java,1345,Java,2016-05-03T14:32:20Z,"9 anos, 4 meses",2020-02-07T11:18:34Z,"5 anos, 7 meses",251,251 KB,strman-java
mapstruct/mapstruct-examples,https://github.com/mapstruct/mapstruct-examples,1339,Java,2013-07-07T15:38:42Z,"12 anos, 2 meses",2025-05-11T14:05:41Z,"4 meses, 2 dias",856,856 KB,mapstruct-examples
shaohui10086/AdvancedLuban,https://github.com/shaohui10086/AdvancedLuban,1328,Java,2016-10-10T15:24:51Z,"8 anos, 11 meses",2019-09-27T08:28:33Z,"5 anos, 11 meses",352,352 KB,AdvancedLuban
beehive-lab/TornadoVM,https://github.com/beehive-lab/TornadoVM,1309,Java,2018-09-07T09:37:44Z,"7 anos, 0 meses",2025-09-05T13:47:21Z,5 dias,164537,160.7 MB,TornadoVM
JannsenYang/dingdong-helper,https://github.com/JannsenYang/dingdong-helper,1301,Java,2022-04-09T12:34:29Z,"3 anos, 5 meses",2022-05-14T23:45:31Z,"3 anos, 3 meses",1778,1.7 MB,dingdong-helper
spring-attic/greenhouse,https://github.com/spring-attic/greenhouse,1298,Java,2011-02-21T19:13:55Z,"14 anos, 6 meses",2019-03-21T18:50:11Z,"6 anos, 5 meses",4865,4.8 MB,greenhouse
menacher/java-game-server,https://github.com/menacher/java-game-server,1294,Java,2012-02-04T09:25:16Z,"13 anos, 7 meses",2022-05-03T05:19:38Z,"3 anos, 4 meses",40804,39.8 MB,java-game-server
odrotbohm/spring-restbucks,https://github.com/odrotbohm/spring-restbucks,1293,Java,2012-10-29T14:37:05Z,"12 anos, 10 meses",2025-09-05T15:37:35Z,5 dias,1480,1.4 MB,spring-restbucks
Netflix/hollow,https://github.com/Netflix/hollow,1290,Java,2016-12-02T18:56:43Z,"8 anos, 9 meses",2025-09-08T17:38:39Z,2 dias,25637,25.0 MB,hollow
rabbitmq/rabbitmq-java-client,https://github.com/rabbitmq/rabbitmq-java-client,1289,Java,2010-09-20T10:43:18Z,"14 anos, 11 meses",2025-09-09T05:53:35Z,1 dias,72953,71.2 MB,rabbitmq-java-client
andremion/Floating-Navigation-View,https://github.com/andremion/Floating-Navigation-View,1287,Java,2016-08-11T13:34:14Z,"9 anos, 1 meses",2022-08-30T07:07:42Z,"3 anos, 0 meses",308,308 KB,Floating-Navigation-View
imagej/imagej2,https://github.com/imagej/imagej2,1285,Java,2012-01-26T18:32:43Z,"13 anos, 7 meses",2025-08-12T02:03:34Z,29 dias,112091,109.5 MB,imagej2
eclipse-milo/milo,https://github.com/eclipse-milo/milo,1283,Java,2016-05-06T13:20:04Z,"9 anos, 4 meses",2025-09-08T12:11:23Z,2 dias,22122,21.6 MB,milo
fusesource/mqtt-client,https://github.com/fusesource/mqtt-client,1283,Java,2011-12-17T05:12:58Z,"13 anos, 9 meses",2021-09-15T02:33:11Z,"3 anos, 12 meses",407,407 KB,mqtt-client
spring-cloud/spring-cloud-openfeign,https://github.com/spring-cloud/spring-cloud-openfeign,1273,Java,2018-02-05T21:26:12Z,"7 anos, 7 meses",2025-09-10T15:21:25Z,0 dias,13000,12.7 MB,spring-cloud-openfeign
Xiaofei-it/Hermes,https://github.com/Xiaofei-it/Hermes,1272,Java,2016-04-26T12:25:35Z,"9 anos, 4 meses",2022-06-21T07:29:41Z,"3 anos, 2 meses",323,323 KB,Hermes
shaohui10086/BottomDialog,https://github.com/shaohui10086/BottomDialog,1271,Java,2016-10-11T09:04:21Z,"8 anos, 11 meses",2017-04-10T14:41:00Z,"8 anos, 5 meses",1011,1011 KB,BottomDialog
jcodec/jcodec,https://github.com/jcodec/jcodec,1270,Java,2012-09-30T21:47:38Z,"12 anos, 11 meses",2025-05-14T14:53:15Z,"3 meses, 29 dias",132204,129.1 MB,jcodec
Devlight/ArcProgressStackView,https://github.com/Devlight/ArcProgressStackView,1268,Java,2016-03-17T10:02:24Z,"9 anos, 5 meses",2018-05-21T21:30:11Z,"7 anos, 3 meses",223,223 KB,ArcProgressStackView
29jitender/Spotlight,https://github.com/29jitender/Spotlight,1267,Java,2016-06-14T11:34:35Z,"9 anos, 3 meses",2020-07-11T04:15:06Z,"5 anos, 2 meses",436,436 KB,Spotlight
stephanenicolas/Quality-Tools-for-Android,https://github.com/stephanenicolas/Quality-Tools-for-Android,1264,Java,2013-01-03T12:24:30Z,"12 anos, 8 meses",2021-10-05T03:03:14Z,"3 anos, 11 meses",4430,4.3 MB,Quality-Tools-for-Android
yuqirong/CardSwipeLayout,https://github.com/yuqirong/CardSwipeLayout,1264,Java,2017-03-02T07:35:56Z,"8 anos, 6 meses",2020-01-19T07:38:51Z,"5 anos, 7 meses",10015,9.8 MB,CardSwipeLayout
bbottema/simple-java-mail,https://github.com/bbottema/simple-java-mail,1263,Java,2015-04-17T06:28:59Z,"10 anos, 4 meses",2025-06-02T09:55:10Z,"3 meses, 10 dias",29364,28.7 MB,simple-java-mail
braisdom/ObjectiveSql,https://github.com/braisdom/ObjectiveSql,1257,Java,2020-07-09T05:19:03Z,"5 anos, 2 meses",2024-05-06T07:03:37Z,"1 anos, 4 meses",2600,2.5 MB,ObjectiveSql
appium/java-client,https://github.com/appium/java-client,1256,Java,2014-04-04T22:05:23Z,"11 anos, 5 meses",2025-09-08T11:33:11Z,2 dias,86002,84.0 MB,java-client
kongzue/DialogV3,https://github.com/kongzue/DialogV3,1254,Java,2019-03-22T11:35:03Z,"6 anos, 5 meses",2021-06-25T05:59:29Z,"4 anos, 2 meses",1517,1.5 MB,DialogV3
ahmetaa/zemberek-nlp,https://github.com/ahmetaa/zemberek-nlp,1247,Java,2013-06-03T06:04:14Z,"12 anos, 3 meses",2025-02-26T19:32:37Z,"6 meses, 16 dias",54504,53.2 MB,zemberek-nlp
Dreampie/Resty,https://github.com/Dreampie/Resty,1246,Java,2014-12-29T10:45:13Z,"10 anos, 8 meses",2021-11-05T02:19:42Z,"3 anos, 10 meses",1953,1.9 MB,Resty
javacc/javacc,https://github.com/javacc/javacc,1244,Java,2016-07-20T03:23:59Z,"9 anos, 1 meses",2025-06-24T17:44:05Z,"2 meses, 18 dias",8175,8.0 MB,javacc
JorgeCastilloPrz/FABProgressCircle,https://github.com/JorgeCastilloPrz/FABProgressCircle,1241,Java,2015-06-01T08:07:36Z,"10 anos, 3 meses",2020-04-20T05:26:57Z,"5 anos, 4 meses",5293,5.2 MB,FABProgressCircle
kaitoy/pcap4j,https://github.com/kaitoy/pcap4j,1224,Java,2011-12-18T07:47:00Z,"13 anos, 9 meses",2022-09-05T12:47:30Z,"3 anos, 0 meses",15231,14.9 MB,pcap4j
google/re2j,https://github.com/google/re2j,1222,Java,2015-02-18T00:20:25Z,"10 anos, 6 meses",2025-01-09T03:49:51Z,"8 meses, 4 dias",2512,2.5 MB,re2j
pmiaowu/BurpFastJsonScan,https://github.com/pmiaowu/BurpFastJsonScan,1218,Java,2020-12-15T02:22:42Z,"4 anos, 9 meses",2022-10-01T05:17:07Z,"2 anos, 11 meses",11175,10.9 MB,BurpFastJsonScan
caprica/vlcj,https://github.com/caprica/vlcj,1197,Java,2012-01-28T07:42:49Z,"13 anos, 7 meses",2025-08-11T16:51:28Z,"1 meses, 0 dias",71359,69.7 MB,vlcj
yahoo/egads,https://github.com/yahoo/egads,1186,Java,2015-05-06T17:47:52Z,"10 anos, 4 meses",2023-11-14T22:41:19Z,"1 anos, 10 meses",1369,1.3 MB,egads
liaohuqiu/cube-sdk,https://github.com/liaohuqiu/cube-sdk,1184,Java,2014-01-08T10:14:29Z,"11 anos, 8 meses",2016-10-03T10:44:11Z,"8 anos, 11 meses",13719,13.4 MB,cube-sdk
sayyam/carouselview,https://github.com/sayyam/carouselview,1179,Java,2016-03-15T11:22:18Z,"9 anos, 6 meses",2020-02-18T12:24:46Z,"5 anos, 6 meses",9514,9.3 MB,carouselview
in28minutes/spring-master-class,https://github.com/in28minutes/spring-master-class,1177,Java,2017-08-07T06:56:45Z,"8 anos, 1 meses",2024-04-12T16:27:28Z,"1 anos, 5 meses",3461,3.4 MB,spring-master-class
wayn111/waynboot-mall,https://github.com/wayn111/waynboot-mall,1163,Java,2020-04-25T08:34:27Z,"5 anos, 4 meses",2025-08-30T03:53:50Z,11 dias,49221,48.1 MB,waynboot-mall
secure-software-engineering/FlowDroid,https://github.com/secure-software-engineering/FlowDroid,1162,Java,2018-01-08T16:11:45Z,"7 anos, 8 meses",2025-09-09T09:59:44Z,1 dias,64254,62.7 MB,FlowDroid
KOHGYLW/kiftd-source,https://github.com/KOHGYLW/kiftd-source,1160,Java,2018-07-30T02:14:38Z,"7 anos, 1 meses",2024-11-03T06:56:59Z,"10 meses, 11 dias",52255,51.0 MB,kiftd-source
javapackager/JavaPackager,https://github.com/javapackager/JavaPackager,1159,Java,2019-02-24T12:17:03Z,"6 anos, 6 meses",2025-09-02T14:47:31Z,8 dias,6717,6.6 MB,JavaPackager
hivemq/hivemq-community-edition,https://github.com/hivemq/hivemq-community-edition,1149,Java,2019-04-01T15:29:54Z,"6 anos, 5 meses",2025-09-06T04:54:59Z,4 dias,12648,12.4 MB,hivemq-community-edition
intuit/wasabi,https://github.com/intuit/wasabi,1138,Java,2016-06-21T21:21:06Z,"9 anos, 2 meses",2023-05-26T10:25:00Z,"2 anos, 3 meses",19421,19.0 MB,wasabi
marcosbarbero/spring-cloud-zuul-ratelimit,https://github.com/marcosbarbero/spring-cloud-zuul-ratelimit,1135,Java,2016-04-14T17:49:19Z,"9 anos, 5 meses",2025-09-05T02:03:12Z,5 dias,1344,1.3 MB,spring-cloud-zuul-ratelimit
davidmoten/rtree,https://github.com/davidmoten/rtree,1123,Java,2014-08-26T12:29:14Z,"11 anos, 0 meses",2025-08-19T19:32:40Z,22 dias,1843,1.8 MB,rtree
hyperledger/fabric-sdk-java,https://github.com/hyperledger/fabric-sdk-java,1118,Java,2016-10-10T17:10:25Z,"8 anos, 11 meses",2025-04-22T16:17:01Z,"4 meses, 21 dias",6223,6.1 MB,fabric-sdk-java
gitlab4j/gitlab4j-api,https://github.com/gitlab4j/gitlab4j-api,1116,Java,2014-02-18T05:09:14Z,"11 anos, 6 meses",2025-09-10T04:11:17Z,0 dias,4886,4.8 MB,gitlab4j-api
yewei02538/HiPermission,https://github.com/yewei02538/HiPermission,1102,Java,2017-05-11T08:04:29Z,"8 anos, 4 meses",2019-09-22T14:58:57Z,"5 anos, 11 meses",5493,5.4 MB,HiPermission
asdsolutions-os/duo-navigation-drawer,https://github.com/asdsolutions-os/duo-navigation-drawer,1096,Java,2017-04-24T07:35:19Z,"8 anos, 4 meses",2019-03-01T09:08:45Z,"6 anos, 6 meses",22127,21.6 MB,duo-navigation-drawer
briandilley/jsonrpc4j,https://github.com/briandilley/jsonrpc4j,1094,Java,2013-10-18T23:15:55Z,"11 anos, 11 meses",2025-08-25T22:59:21Z,16 dias,1583,1.5 MB,jsonrpc4j
microsoft/mssql-jdbc,https://github.com/microsoft/mssql-jdbc,1092,Java,2016-08-22T21:58:47Z,"9 anos, 0 meses",2025-09-10T10:45:15Z,0 dias,18903,18.5 MB,mssql-jdbc
in28minutes/spring-boot-master-class,https://github.com/in28minutes/spring-boot-master-class,1091,Java,2017-08-02T09:02:25Z,"8 anos, 1 meses",2024-10-15T03:54:49Z,"11 meses, 0 dias",1022,1022 KB,spring-boot-master-class
roughike/SwipeSelector,https://github.com/roughike/SwipeSelector,1089,Java,2016-02-22T21:08:29Z,"9 anos, 6 meses",2019-06-10T23:27:47Z,"6 anos, 3 meses",9710,9.5 MB,SwipeSelector
datumbox/datumbox-framework,https://github.com/datumbox/datumbox-framework,1088,Java,2014-10-18T18:10:08Z,"10 anos, 11 meses",2023-11-30T09:26:29Z,"1 anos, 9 meses",4977,4.9 MB,datumbox-framework
ezylang/EvalEx,https://github.com/ezylang/EvalEx,1070,Java,2012-12-15T17:08:00Z,"12 anos, 9 meses",2025-08-31T11:26:18Z,10 dias,873,873 KB,EvalEx
xerial/snappy-java,https://github.com/xerial/snappy-java,1070,Java,2012-09-06T01:30:21Z,"13 anos, 0 meses",2025-09-10T08:06:50Z,0 dias,38910,38.0 MB,snappy-java
momosecurity/rhizobia_J,https://github.com/momosecurity/rhizobia_J,1065,Java,2019-05-10T10:10:48Z,"6 anos, 4 meses",2020-10-13T13:12:09Z,"4 anos, 11 meses",73,73 KB,rhizobia_J
mcMMO-Dev/mcMMO,https://github.com/mcMMO-Dev/mcMMO,1061,Java,2012-01-05T18:54:08Z,"13 anos, 8 meses",2025-08-30T19:08:18Z,11 dias,30585,29.9 MB,mcMMO
quickfix-j/quickfixj,https://github.com/quickfix-j/quickfixj,1060,Java,2014-05-19T10:04:08Z,"11 anos, 3 meses",2025-09-09T10:52:46Z,1 dias,44317,43.3 MB,quickfixj
yidao620c/SpringBootBucket,https://github.com/yidao620c/SpringBootBucket,1059,Java,2018-03-04T09:46:49Z,"7 anos, 6 meses",2021-10-04T16:24:14Z,"3 anos, 11 meses",2230,2.2 MB,SpringBootBucket
spring-cloud/spring-cloud-function,https://github.com/spring-cloud/spring-cloud-function,1057,Java,2016-09-22T02:34:34Z,"8 anos, 11 meses",2025-09-10T20:40:25Z,0 dias,14328,14.0 MB,spring-cloud-function
zaihuishou/ExpandableRecyclerview,https://github.com/zaihuishou/ExpandableRecyclerview,1054,Java,2016-07-11T02:05:39Z,"9 anos, 2 meses",2016-11-21T03:32:51Z,"8 anos, 9 meses",7711,7.5 MB,ExpandableRecyclerview
linkedin/test-butler,https://github.com/linkedin/test-butler,1048,Java,2016-07-28T19:07:01Z,"9 anos, 1 meses",2022-08-01T19:44:17Z,"3 anos, 1 meses",344,344 KB,test-butler
kolorobot/spring-mvc-quickstart-archetype,https://github.com/kolorobot/spring-mvc-quickstart-archetype,1043,Java,2012-01-07T21:53:23Z,"13 anos, 8 meses",2022-12-29T07:41:46Z,"2 anos, 8 meses",1178,1.2 MB,spring-mvc-quickstart-archetype
spring-cloud/spring-cloud-stream,https://github.com/spring-cloud/spring-cloud-stream,1038,Java,2015-07-08T15:51:38Z,"10 anos, 2 meses",2025-09-10T22:10:10Z,0 dias,19590,19.1 MB,spring-cloud-stream
apache/commons-io,https://github.com/apache/commons-io,1037,Java,2009-05-21T01:38:37Z,"16 anos, 3 meses",2025-09-10T20:27:16Z,0 dias,12964,12.7 MB,commons-io
AppiumTestDistribution/AppiumTestDistribution,https://github.com/AppiumTestDistribution/AppiumTestDistribution,1029,Java,2015-08-18T16:22:15Z,"10 anos, 0 meses",2024-12-19T05:18:18Z,"8 meses, 25 dias",115003,112.3 MB,AppiumTestDistribution
yomorun/hashids-java,https://github.com/yomorun/hashids-java,1027,Java,2014-04-18T01:45:57Z,"11 anos, 4 meses",2023-10-20T03:26:01Z,"1 anos, 10 meses",117,117 KB,hashids-java
kingston-csj/jforgame,https://github.com/kingston-csj/jforgame,1026,Java,2017-06-18T06:41:13Z,"8 anos, 2 meses",2025-09-10T12:36:21Z,0 dias,3243,3.2 MB,jforgame
rule-engine/rule-engine-open,https://github.com/rule-engine/rule-engine-open,1022,Java,2023-03-29T15:00:27Z,"2 anos, 5 meses",2025-09-01T15:05:33Z,9 dias,532,532 KB,rule-engine-open
neoremind/fluent-validator,https://github.com/neoremind/fluent-validator,1021,Java,2015-08-01T14:45:24Z,"10 anos, 1 meses",2022-12-16T06:01:14Z,"2 anos, 8 meses",277,277 KB,fluent-validator
qqxx6661/log-record,https://github.com/qqxx6661/log-record,1020,Java,2021-11-06T06:35:33Z,"3 anos, 10 meses",2025-07-26T03:55:05Z,"1 meses, 16 dias",4080,4.0 MB,log-record
leventov/Koloboke,https://github.com/leventov/Koloboke,1018,Java,2013-11-13T21:21:40Z,"11 anos, 10 meses",2017-02-01T10:43:20Z,"8 anos, 7 meses",39039,38.1 MB,Koloboke
kordamp/bootstrapfx,https://github.com/kordamp/bootstrapfx,1017,Java,2015-09-08T22:04:56Z,"10 anos, 0 meses",2021-05-06T21:43:19Z,"4 anos, 4 meses",866,866 KB,bootstrapfx
zhangxd1989/springboot-dubbox,https://github.com/zhangxd1989/springboot-dubbox,1016,Java,2017-02-10T10:28:20Z,"8 anos, 7 meses",2022-06-29T19:31:59Z,"3 anos, 2 meses",129,129 KB,springboot-dubbox
armcha/LuseenBottomNavigation,https://github.com/armcha/LuseenBottomNavigation,1016,Java,2016-03-19T12:23:24Z,"9 anos, 5 meses",2018-03-22T11:39:39Z,"7 anos, 5 meses",1283,1.3 MB,LuseenBottomNavigation
serso/android-checkout,https://github.com/serso/android-checkout,1009,Java,2014-07-28T09:48:40Z,"11 anos, 1 meses",2024-01-26T14:32:56Z,"1 anos, 7 meses",2196,2.1 MB,android-checkout
antlr/stringtemplate4,https://github.com/antlr/stringtemplate4,1004,Java,2010-02-04T01:37:35Z,"15 anos, 7 meses",2025-05-14T20:52:32Z,"3 meses, 29 dias",3094,3.0 MB,stringtemplate4
booncol/Pulsator4Droid,https://github.com/booncol/Pulsator4Droid,1001,Java,2016-07-06T23:47:52Z,"9 anos, 2 meses",2023-11-24T05:24:58Z,"1 anos, 9 meses",214,214 KB,Pulsator4Droid
hankcs/AhoCorasickDoubleArrayTrie,https://github.com/hankcs/AhoCorasickDoubleArrayTrie,997,Java,2015-04-08T13:40:30Z,"10 anos, 5 meses",2021-11-24T17:09:04Z,"3 anos, 9 meses",3210,3.1 MB,AhoCorasickDoubleArrayTrie
